# Spherical mesh area histograms – K=8
# Generated from rvec_8.dat + Triangle_8.dat
# Full sphere: 642 vertices, 1280 triangles
# Bins: 40
#
# PRIMAL TRIANGLE AREA HISTOGRAM
# columns: bin_index  bin_low  bin_high  bin_centre  count
     0  6.120831917522215e-01  6.128733518400432e-01  6.124782717961323e-01     420
     1  6.128733518400432e-01  6.136635119278648e-01  6.132684318839541e-01     240
     2  6.136635119278648e-01  6.144536720156866e-01  6.140585919717757e-01      60
    34  6.389486347381588e-01  6.397387948259804e-01  6.393437147820695e-01      20
    35  6.397387948259804e-01  6.405289549138021e-01  6.401338748698913e-01     120
    36  6.405289549138021e-01  6.413191150016238e-01  6.409240349577130e-01      60
    37  6.413191150016238e-01  6.421092750894455e-01  6.417141950455346e-01     180
    38  6.421092750894455e-01  6.428994351772671e-01  6.425043551333562e-01     120
    39  6.428994351772671e-01  6.436895952650888e-01  6.432945152211780e-01      60
#
# DUAL CELL AREA HISTOGRAM
# columns: bin_index  bin_low  bin_high  bin_centre  count
     0  1.167272616537593e+00  1.169505804306062e+00  1.168389210421827e+00      12
    31  1.236501437360121e+00  1.238734625128590e+00  1.237618031244355e+00      30
    32  1.238734625128590e+00  1.240967812897058e+00  1.239851219012824e+00     120
    33  1.240967812897058e+00  1.243201000665527e+00  1.242084406781292e+00      60
    39  1.254366939507870e+00  1.256600127276339e+00  1.255483533392104e+00     420
